Ticker,Name,Sector,P/B Ratio,NCA/BV Ratio,Equity Ratio %
3471.T,Mitsui Fudosan Logistics Park Inc.,-,0.28,-0.015,56.12
3296.T,NIPPON REIT Investment Corporation,-,0.29,-0.003,47.14
8972.T,KDX Realty Investment Corporation,-,0.29,-0.06,50.4
8952.T,Japan Real Estate Investment Corporation,-,0.3,-0.115,50.42
8951.T,Nippon Building Fund Inc.,-,0.31,-0.075,50.33
3290.T,"One REIT,Inc.",-,0.34,-0.001,45.8
8955.T,Japan Prime Realty Investment Corporation,-,0.34,-0.006,50.24
3226.T,Mitsui Fudosan Accommodations Fund Inc.,-,0.39,-0.091,46.36
3481.T,Mitsubishi Estate Logistics REIT Investment Corporation,-,0.44,-0.042,54.38
3287.T,"Hoshino Resorts REIT,Inc.",-,0.49,-0.002,58.14
8984.T,Daiwa House REIT Investment Corporation,-,0.52,-0.023,53.26
3468.T,Star Asia Investment Corporation,-,0.53,-0.017,49.28
3282.T,"Comforia Residential REIT,Inc",-,0.55,,N/A
8961.T,"MORI TRUST REIT,Inc.",-,0.59,-0.063,48.81
8976.T,Daiwa Office Investment Corporation,-,0.6,0.024,49.66
8967.T,"Japan Logistics Fund,Inc.",-,0.61,0.041,52.2
8953.T,Japan Metropolitan Fund Investment Corporation,-,0.65,-0.029,48.85
3472.T,Nippon Hotel & Residential Investment Corporation,-,0.7,-0.209,52.93
8954.T,ORIX JREIT Inc.,-,0.73,-0.067,48.96
3492.T,MIRARTH Real Estate Investment Corporation,-,0.81,-0.061,48.22
9204.T,Skymark Airlines Inc.,Air Transportation,0.72,-0.386,26.1
9202.T,ANA HOLDINGS INC.,Air Transportation,0.86,0.369,31.22
9233.T,"Asia Air Survey Co.,Ltd.",Air Transportation,0.86,0.521,55.42
9201.T,"Japan Airlines Co.,Ltd.",Air Transportation,0.89,0.264,34.89
9206.T,Star Flyer Inc.,Air Transportation,1.0,2.018,17.5
92025.T,Series 1 Bond-Type Class Shares of ANA HOLDINGS INC.,Air Transportation,1.45,N/A,N/A
7161.T,"Jimoto Holdings,Inc.",Banks,0.16,N/A,3.33
8383.T,"THE TOTTORI BANK,LTD.",Banks,0.27,N/A,4.34
8416.T,"THE BANK OF KOCHI,LTD.",Banks,0.28,N/A,4.4
8542.T,"TOMATO BANK,LTD.",Banks,0.29,N/A,4.1
7150.T,"THE SHIMANE BANK,LTD.",Banks,0.33,N/A,2.62
8537.T,"THE TAIKO BANK,LTD.",Banks,0.33,N/A,4.47
8364.T,"THE SHIMIZU BANK,LTD.",Banks,0.35,N/A,3.96
8365.T,"The Bank of Toyama,Ltd.",Banks,0.35,N/A,5.19
8349.T,"THE TOHOKU BANK,LTD.",Banks,0.39,N/A,3.5
8713.T,FIDEA Holdings Co.Ltd.,Banks,0.41,N/A,2.64
8563.T,"THE DAITO BANK,LTD.",Banks,0.42,N/A,3.74
8551.T,"The Kita-Nippon Bank,Ltd.",Banks,0.46,N/A,5.66
8338.T,"Tsukuba Bank,Ltd.",Banks,0.49,N/A,3.17
8562.T,"THE FUKUSHIMA BANK,LTD.",Banks,0.5,N/A,2.97
8541.T,"The Ehime Bank,Ltd.",Banks,0.54,N/A,4.57
8558.T,"THE TOWA BANK,LTD.",Banks,0.54,N/A,3.8
8600.T,"TOMONY Holdings,Inc.",Banks,0.56,N/A,5.59
