Ticker,Name,Sector,P/B Ratio,NCA/BV Ratio,Equity Ratio %
3296.T,NIPPON REIT Investment Corporation,-,0.29,-0.003,47.14
3471.T,Mitsui Fudosan Logistics Park Inc.,-,0.29,-0.015,56.12
8972.T,KDX Realty Investment Corporation,-,0.29,-0.06,50.4
8952.T,Japan Real Estate Investment Corporation,-,0.3,-0.115,50.42
8951.T,Nippon Building Fund Inc.,-,0.32,-0.075,50.33
3290.T,"One REIT,Inc.",-,0.34,-0.001,45.8
8955.T,Japan Prime Realty Investment Corporation,-,0.35,-0.006,50.24
3226.T,Mitsui Fudosan Accommodations Fund Inc.,-,0.39,-0.091,46.36
3481.T,Mitsubishi Estate Logistics REIT Investment Corporation,-,0.44,-0.042,54.38
3287.T,"Hoshino Resorts REIT,Inc.",-,0.49,-0.002,58.14
8984.T,Daiwa House REIT Investment Corporation,-,0.53,-0.023,53.26
3468.T,Star Asia Investment Corporation,-,0.54,-0.017,49.28
3282.T,"Comforia Residential REIT,Inc",-,0.56,,N/A
8961.T,"MORI TRUST REIT,Inc.",-,0.6,-0.063,48.81
8967.T,"Japan Logistics Fund,Inc.",-,0.62,0.041,52.2
8976.T,Daiwa Office Investment Corporation,-,0.62,0.024,49.66
8953.T,Japan Metropolitan Fund Investment Corporation,-,0.66,-0.029,48.85
3472.T,Nippon Hotel & Residential Investment Corporation,-,0.71,-0.209,52.93
8954.T,ORIX JREIT Inc.,-,0.75,-0.067,48.96
3492.T,MIRARTH Real Estate Investment Corporation,-,0.82,-0.061,48.22
9204.T,Skymark Airlines Inc.,Air Transportation,0.74,-0.386,26.1
9233.T,"Asia Air Survey Co.,Ltd.",Air Transportation,0.87,0.521,55.42
9202.T,ANA HOLDINGS INC.,Air Transportation,0.9,0.369,31.22
9201.T,"Japan Airlines Co.,Ltd.",Air Transportation,0.93,0.264,34.89
9206.T,Star Flyer Inc.,Air Transportation,1.02,2.018,17.5
92025.T,Series 1 Bond-Type Class Shares of ANA HOLDINGS INC.,Air Transportation,1.45,N/A,N/A
7161.T,"Jimoto Holdings,Inc.",Banks,0.15,N/A,3.33
8416.T,"THE BANK OF KOCHI,LTD.",Banks,0.27,N/A,4.4
8383.T,"THE TOTTORI BANK,LTD.",Banks,0.29,N/A,4.34
8542.T,"TOMATO BANK,LTD.",Banks,0.3,N/A,4.1
7150.T,"THE SHIMANE BANK,LTD.",Banks,0.32,N/A,2.62
8537.T,"THE TAIKO BANK,LTD.",Banks,0.32,N/A,4.47
8364.T,"THE SHIMIZU BANK,LTD.",Banks,0.35,N/A,3.96
8365.T,"The Bank of Toyama,Ltd.",Banks,0.36,N/A,5.19
8349.T,"THE TOHOKU BANK,LTD.",Banks,0.39,N/A,3.5
8713.T,FIDEA Holdings Co.Ltd.,Banks,0.41,N/A,2.64
8563.T,"THE DAITO BANK,LTD.",Banks,0.42,N/A,3.74
8551.T,"The Kita-Nippon Bank,Ltd.",Banks,0.45,N/A,5.66
8338.T,"Tsukuba Bank,Ltd.",Banks,0.49,N/A,3.17
8562.T,"THE FUKUSHIMA BANK,LTD.",Banks,0.5,N/A,2.97
8541.T,"The Ehime Bank,Ltd.",Banks,0.53,N/A,4.57
8558.T,"THE TOWA BANK,LTD.",Banks,0.56,N/A,3.8
8600.T,"TOMONY Holdings,Inc.",Banks,0.56,N/A,5.59
8550.T,"THE TOCHIGI BANK,LTD.",Banks,0.59,N/A,4.54
7384.T,"Procrea Holdings,Inc.",Banks,0.6,N/A,2.61
8387.T,"The Shikoku Bank, Ltd.",Banks,0.6,N/A,4.74
4234.T,"Sun A.Kaken Company,Limited",Chemicals,0.29,0.46,53.16
4102.T,"Maruo Calcium Co.,Ltd.",Chemicals,0.3,0.543,58.1
4615.T,"SHINTO PAINT COMPANY,LIMITED",Chemicals,0.33,0.042,42.49
7877.T,"EIDAI KAKO CO.,LTD.",Chemicals,0.33,0.601,73.13
7928.T,"ASAHI KAGAKU KOGYO CO.,LTD.",Chemicals,0.33,0.371,79.23
4624.T,"Isamu Paint Co.,Ltd.",Chemicals,0.36,0.361,82.45
4625.T,"ATOMIX CO.,LTD.",Chemicals,0.36,0.45,68.9
4119.T,Nippon Pigment Holdings Company Limited,Chemicals,0.38,0.487,44.53
5142.T,Achilles Corporation,Chemicals,0.38,0.421,49.48
4031.T,Katakura & Co-op Agri Corporation,Chemicals,0.39,0.333,47.54
4222.T,"KODAMA CHEMICAL INDUSTRY CO.,LTD.",Chemicals,0.39,-0.584,28.8
4242.T,TAKAGI SEIKO CORPORATION,Chemicals,0.39,0.457,31.11
4406.T,"New Japan Chemical Co.,Ltd.",Chemicals,0.39,0.478,47.4
4120.T,"SUGAI CHEMICAL INDUSTRY CO.,LTD.",Chemicals,0.4,0.364,64.93
4231.T,TIGERS POLYMER CORPORATION,Chemicals,0.4,0.587,72.28
6776.T,"Tensho Electric Industries Co.,Ltd.",Chemicals,0.41,0.079,48.02
4623.T,ASAHIPEN CORPORATION,Chemicals,0.42,0.427,65.72
4235.T,"Ultrafabrics Holdings Co.,Ltd.",Chemicals,0.44,0.004,45.77
3878.T,TOMOEGAWA CORPORATION,Chemicals,0.45,0.226,33.07
7871.T,"FUKUVI CHEMICAL INDUSTRY CO.,LTD.",Chemicals,0.45,0.603,68.74
1443.T,"Giken Holdings Co.,Ltd.",Construction,0.31,0.167,67.53
1897.T,"The Kaneshita Construction Co.,Ltd.",Construction,0.32,0.581,82.25
1994.T,TAKAHASHI CURTAIN WALL CORPORATION,Construction,0.4,0.538,85.49
1718.T,"MIKIKOGYO CO.,LTD.",Construction,0.43,0.388,44.3
1420.T,Sanyo Homes Corporation,Construction,0.45,1.434,30.31
1866.T,KITANO CONSTRUCTION CORP.,Construction,0.48,0.376,61.73
1840.T,"TSUCHIYA HOLDINGS CO.,LTD.",Construction,0.49,0.379,48.32
1914.T,"JAPAN FOUNDATION ENGINEERING CO.,LTD.",Construction,0.49,0.35,72.23
1807.T,"WATANABE SATO CO.,LTD.",Construction,0.5,0.483,60.24
1811.T,THE ZENITAKA CORPORATION,Construction,0.5,0.392,46.85
1758.T,"Taiyo Kisokogyo Co.,Ltd.",Construction,0.51,0.601,76.32
1867.T,UEKI CORPORATION,Construction,0.51,0.539,56.98
1873.T,"NIHON HOUSE HOLDINGS CO.,LTD.",Construction,0.54,-0.011,51.12
1966.T,TAKADA CORPORATION,Construction,0.58,0.623,44.9
1798.T,MORIYA CORPORATION,Construction,0.59,0.577,46.69
1850.T,"Nankai Tatsumura Construction Co.,Ltd.",Construction,0.6,0.893,40.33
1887.T,JDC CORPORATION,Construction,0.62,0.86,47.08
1960.T,Sanyo Engineering & Construction Inc.,Construction,0.62,0.422,51.6
1764.T,KUDO CORPORATION,Construction,0.63,,N/A
1911.T,"Sumitomo Forestry Co.,Ltd.",Construction,0.66,0.96,39.04
6513.T,"Origin Company,Limited",Electric Appliances,0.25,0.703,52.55
3856.T,Abalance Corporation,Electric Appliances,0.26,0.246,16.05
6619.T,W-SCOPE Corporation,Electric Appliances,0.27,-0.115,78.71
6771.T,"IKEGAMI TSUSHINKI CO.,LTD.",Electric Appliances,0.29,0.922,47.36
6899.T,ASTI CORPORATION,Electric Appliances,0.29,0.716,53.3
6699.T,"DIAMOND ELECTRIC HOLDINGS Co.,Ltd.",Electric Appliances,0.3,-0.223,14.37
6943.T,"NKK SWITCHES CO.,LTD.",Electric Appliances,0.3,0.622,84.82
6986.T,FUTABA CORPORATION,Electric Appliances,0.3,0.679,76.33
6664.T,"OPTOELECTRONICS CO.,LTD.",Electric Appliances,0.36,1.028,45.56
6964.T,"SANKO CO.,LTD.",Electric Appliances,0.36,0.624,70.84
6615.T,"UMC Electronics Co.,Ltd.",Electric Appliances,0.38,-0.02,20.77
6276.T,"SiriusVision CO.,LTD.",Electric Appliances,0.42,0.855,66.24
7280.T,MITSUBA Corporation,Electric Appliances,0.43,0.61,28.69
6907.T,"GEOMATEC CO.,LTD.",Electric Appliances,0.48,0.553,55.66
6743.T,"Daido Signal Co.,Ltd.",Electric Appliances,0.49,0.649,53.5
6867.T,LEADER ELECTRONICS CORPORATION,Electric Appliances,0.49,0.846,70.7
6694.T,ZOOM CORPORATION,Electric Appliances,0.5,1.16,30.1
6897.T,TWINBIRD CORPORATION,Electric Appliances,0.5,0.466,66.13
4902.T,"KONICA MINOLTA,INC.",Electric Appliances,0.51,0.556,43.44
6654.T,"FUJI ELECTRIC INDUSTRY CO.,LTD.",Electric Appliances,0.54,,N/A
9501.T,"Tokyo Electric Power Company Holdings,Incorporated",Electric Power and Gas,0.24,-0.606,25.08
9514.T,EF-ON INC.,Electric Power and Gas,0.34,0.216,40.28
9537.T,"HOKURIKU GAS CO.,LTD.",Electric Power and Gas,0.35,0.132,74.91
9511.T,"The Okinawa Electric Power Company,Incorporated",Electric Power and Gas,0.38,-0.259,24.25
9535.T,"HIROSHIMA GAS CO.,LTD.",Electric Power and Gas,0.38,0.346,52.67
9505.T,Hokuriku Electric Power Company,Electric Power and Gas,0.39,0.283,20.47
