Ticker,Name,Sector,P/B Ratio,NCA/BV Ratio
8616.T,"Tokai Tokyo Financial Holdings,Inc.",Securities and Commodities Futures,1.02,1.545
8622.T,"Mito Securities Co.,Ltd.",Securities and Commodities Futures,1.03,0.677
8706.T,"KYOKUTO SECURITIES CO.,LTD.",Securities and Commodities Futures,1.04,N/A
8604.T,"Nomura Holdings, Inc.",Securities and Commodities Futures,1.06,N/A
8737.T,Akatsuki Corp.,Securities and Commodities Futures,1.06,1.36
8705.T,"Nissan Securities Group Co.,Ltd.",Securities and Commodities Futures,1.08,0.959
8708.T,"AIZAWA SECURITIES GROUP CO.,LTD.",Securities and Commodities Futures,1.08,0.424
7185.T,Hirose Tusyo Inc.,Securities and Commodities Futures,1.12,1.014
8473.T,"SBI Holdings,Inc.",Securities and Commodities Futures,1.17,1.923
9760.T,"SHINGAKUKAI HOLDINGS CO.,LTD.",Services,0.31,0.18
4679.T,"TAYA Co.,Ltd.",Services,0.32,-0.742
7372.T,Decollte Holdings Corporation,Services,0.38,-0.275
2376.T,SCINEX CORPORATION,Services,0.45,0.563
9791.T,BIKEN TECHNO CORPORATION,Services,0.46,0.466
6059.T,"UCHIYAMA HOLDINGS Co.,Ltd.",Services,0.47,0.535
6579.T,"logly,Inc.",Services,0.48,0.716
9761.T,"TOKAI LEASE CO.,LTD.",Services,0.48,0.291
4341.T,SEIRYO ELECTRIC CORPORATION,Services,0.49,0.747
4678.T,"SHUEI YOBIKO Co.,Ltd.",Services,0.5,0.016
4707.T,KITAC CORPORATION,Services,0.51,-0.165
6186.T,"ICHIKURA CO.,LTD.",Services,0.53,-0.583
2168.T,Pasona Group Inc.,Services,0.55,0.75
6178.T,"JAPAN POST HOLDINGS Co.,Ltd.",Services,0.55,N/A
4331.T,"TAKE AND GIVE. NEEDS Co.,Ltd.",Services,0.58,-0.147
9713.T,"THE ROYAL HOTEL,LIMITED",Services,0.58,0.508
2687.T,CVS Bay Area Inc.,Services,0.59,-0.087
7041.T,"CRG HOLDINGS CO.,LTD.",Services,0.59,-0.039
9625.T,"CERESPO CO.,LTD.",Services,0.59,0.707
4690.T,"NIPPON PALLET POOL CO.,LTD.",Services,0.6,-0.068
3600.T,FUJIX Ltd.,Textiles and Apparels,0.24,0.649
3204.T,Toabo Corporation,Textiles and Apparels,0.32,0.198
3551.T,DYNIC CORPORATION,Textiles and Apparels,0.32,0.163
8013.T,"NAIGAI CO.,LTD.",Textiles and Apparels,0.35,0.75
8040.T,"TOKYO SOIR CO.,LTD.",Textiles and Apparels,0.35,0.559
3109.T,SHIKIBO LTD.,Textiles and Apparels,0.39,0.244
3577.T,Tokai Senko K.K.,Textiles and Apparels,0.4,0.475
3123.T,"SAIBO Co.,Ltd.",Textiles and Apparels,0.42,0.236
8029.T,LOOK HOLDINGS INCORPORATED,Textiles and Apparels,0.48,0.558
3583.T,AuBEX CORPORATION,Textiles and Apparels,0.5,0.737
3501.T,"SUMINOE Co.,Ltd.",Textiles and Apparels,0.51,0.395
3529.T,"ATSUGI CO.,LTD.",Textiles and Apparels,0.52,0.366
3524.T,"NITTO SEIMO CO.,LTD.",Textiles and Apparels,0.54,0.265
3571.T,"SOTOH CO.,LTD.",Textiles and Apparels,0.57,0.249
3598.T,"YAMAKI CO.,LTD.",Textiles and Apparels,0.57,0.501
3611.T,MATSUOKA CORPORATION,Textiles and Apparels,0.63,0.667
8143.T,"LAPINE CO.,LTD.",Textiles and Apparels,0.65,0.058
3513.T,"ICHIKAWA CO.,LTD.",Textiles and Apparels,0.68,0.52
8127.T,YAMATO INTERNATIONAL INC.,Textiles and Apparels,0.69,0.332
3607.T,"KURAUDIA HOLDINGS CO.,LTD.",Textiles and Apparels,0.72,-0.076
7215.T,"FALTEC Co.,Ltd.",Transportation Equipment,0.19,0.524
7214.T,GMB CORPORATION,Transportation Equipment,0.22,0.266
7291.T,"NIHON PLAST CO.,LTD.",Transportation Equipment,0.23,0.254
7201.T,"NISSAN MOTOR CO.,LTD.",Transportation Equipment,0.25,0.858
7212.T,F-TECH INC.,Transportation Equipment,0.27,-0.011
7219.T,"HKS CO.,LTD.",Transportation Equipment,0.3,0.483
7247.T,MIKUNI CORPORATION,Transportation Equipment,0.33,0.379
7399.T,"NANSIN CO.,LTD.",Transportation Equipment,0.33,0.695
7277.T,"TBK Co.,Ltd.",Transportation Equipment,0.34,0.305
7266.T,"Imasen Electric Industrial Co.,Ltd.",Transportation Equipment,0.35,0.61
7255.T,SAKURAI LTD.,Transportation Equipment,0.36,0.279
7264.T,MURO CORPORATION,Transportation Equipment,0.36,0.427
7284.T,"MEIWA INDUSTRY CO.,LTD.",Transportation Equipment,0.36,0.357
7294.T,YOROZU CORPORATION,Transportation Equipment,0.36,0.569
7261.T,Mazda Motor Corporation,Transportation Equipment,0.37,0.405
7218.T,"TANAKA SEIMITSU KOGYO CO.,LTD.",Transportation Equipment,0.39,0.461
7267.T,"HONDA MOTOR CO.,LTD.",Transportation Equipment,0.4,0.249
7229.T,"YUTAKA GIKEN CO.,LTD.",Transportation Equipment,0.41,0.639
7297.T,"CAR MATE MFG. CO.,LTD.",Transportation Equipment,0.41,0.992
5949.T,UNIPRES CORPORATION,Transportation Equipment,0.46,0.348
9355.T,RINKO CORPORATION,Warehousing and Harbor Transportation Service,0.3,-0.204
9365.T,TRADIA CORPORATION,Warehousing and Harbor Transportation Service,0.42,-0.027
9353.T,"SAKURAJIMA FUTO KAISHA,LTD.",Warehousing and Harbor Transportation Service,0.43,0.148
9366.T,SANRITSU CORPORATION,Warehousing and Harbor Transportation Service,0.44,0.154
9193.T,"Tokyo Kisen Co.,Ltd.",Warehousing and Harbor Transportation Service,0.47,0.319
9313.T,Maruhachi Warehouse Company Limited,Warehousing and Harbor Transportation Service,0.47,-0.023
9361.T,"FUSHIKI KAIRIKU UNSO CO.,LTD.",Warehousing and Harbor Transportation Service,0.47,0.159
9351.T,"TOYO WHARF & WAREHOUSE CO.,LTD.",Warehousing and Harbor Transportation Service,0.48,-0.03
9311.T,ASAGAMI CORPORATION,Warehousing and Harbor Transportation Service,0.49,0.183
9306.T,"Toyo Logistics Co.,Ltd.",Warehousing and Harbor Transportation Service,0.57,0.159
9312.T,"THE KEIHIN CO.,LTD.",Warehousing and Harbor Transportation Service,0.61,0.226
9380.T,"Azuma Shipping Co.,Ltd.",Warehousing and Harbor Transportation Service,0.63,0.119
9324.T,Yasuda Logistics Corporation,Warehousing and Harbor Transportation Service,0.67,0.15
9310.T,Japan Transcity Corporation,Warehousing and Harbor Transportation Service,0.81,0.302
9319.T,"Chuo Warehouse Co.,Ltd.",Warehousing and Harbor Transportation Service,0.84,0.131
9322.T,"KAWANISHI WAREHOUSE CO.,LTD.",Warehousing and Harbor Transportation Service,0.86,0.219
9368.T,"KIMURA UNITY CO.,LTD.",Warehousing and Harbor Transportation Service,0.87,0.399
9362.T,"HYOKI KAIUN KAISHA,LTD.",Warehousing and Harbor Transportation Service,0.91,0.06
9307.T,"Sugimura Warehouse Co.,Ltd.",Warehousing and Harbor Transportation Service,1.03,0.416
9303.T,"The Sumitomo Warehouse Co.,Ltd.",Warehousing and Harbor Transportation Service,1.04,0.124
9895.T,CONSEC CORPORATION,Wholesale Trade,0.27,0.325
8144.T,"Denkyo Group Holdings Co.,Ltd.",Wholesale Trade,0.31,0.481
7490.T,"NISSIN SHOJI CO.,LTD.",Wholesale Trade,0.32,0.435
8025.T,"TSUKAMOTO CORPORATION CO.,LTD.",Wholesale Trade,0.33,-0.222
8077.T,TORQ Inc.,Wholesale Trade,0.34,0.315
7414.T,"ONOKEN CO.,LTD.",Wholesale Trade,0.35,0.325
8123.T,"T.KAWABE & CO.,LTD.",Wholesale Trade,0.35,0.334
5283.T,"TAKAMISAWA CO.,LTD.",Wholesale Trade,0.36,0.347
7425.T,"HATSUHO SHOUJI CO.,LTD.",Wholesale Trade,0.36,0.552
7531.T,SEIWA CHUO HOLDINGS CORPORATION,Wholesale Trade,0.36,0.472
2693.T,YKT CORPORATION,Wholesale Trade,0.37,0.765
7422.T,"TOHO LAMAC CO.,LTD.",Wholesale Trade,0.38,0.657
7442.T,"NAKAYAMAFUKU CO.,LTD.",Wholesale Trade,0.38,0.535
9885.T,"CHARLE CO.,LTD.",Wholesale Trade,0.39,0.632
7464.T,"SAFTEC CO.,LTD.",Wholesale Trade,0.4,0.624
7538.T,"DAISUI CO.,LTD.",Wholesale Trade,0.41,0.724
7444.T,"Harima-Kyowa Co.,LTD.",Wholesale Trade,0.42,0.366
7461.T,"KIMURA CO.,LTD.",Wholesale Trade,0.42,0.295
7486.T,"SANRIN CO.,LTD.",Wholesale Trade,0.42,0.362
8089.T,Nice Corporation,Wholesale Trade,0.42,0.544
