Ticker,Name,Sector,P/B Ratio,NCA/BV Ratio,Equity Ratio %
3296.T,NIPPON REIT Investment Corporation,-,0.31,-0.003,N/A
3471.T,Mitsui Fudosan Logistics Park Inc.,-,0.31,-0.015,N/A
8972.T,KDX Realty Investment Corporation,-,0.31,-0.06,N/A
8952.T,Japan Real Estate Investment Corporation,-,0.32,-0.115,N/A
8951.T,Nippon Building Fund Inc.,-,0.35,-0.075,N/A
3290.T,"One REIT,Inc.",-,0.36,-0.001,N/A
8955.T,Japan Prime Realty Investment Corporation,-,0.37,-0.006,N/A
3226.T,Mitsui Fudosan Accommodations Fund Inc.,-,0.43,-0.091,N/A
3481.T,Mitsubishi Estate Logistics REIT Investment Corporation,-,0.46,-0.042,N/A
3287.T,"Hoshino Resorts REIT,Inc.",-,0.54,-0.002,N/A
3468.T,Star Asia Investment Corporation,-,0.56,-0.017,N/A
8984.T,Daiwa House REIT Investment Corporation,-,0.57,-0.023,N/A
3282.T,"Comforia Residential REIT,Inc",-,0.6,,N/A
8961.T,"MORI TRUST REIT,Inc.",-,0.62,-0.063,N/A
8967.T,"Japan Logistics Fund,Inc.",-,0.65,0.041,N/A
8976.T,Daiwa Office Investment Corporation,-,0.65,0.024,N/A
8953.T,Japan Metropolitan Fund Investment Corporation,-,0.7,-0.029,N/A
8954.T,ORIX JREIT Inc.,-,0.78,-0.067,N/A
3472.T,Nippon Hotel & Residential Investment Corporation,-,0.79,-0.209,N/A
3492.T,MIRARTH Real Estate Investment Corporation,-,0.88,-0.061,N/A
9204.T,Skymark Airlines Inc.,Air Transportation,0.7,-0.386,N/A
9201.T,"Japan Airlines Co.,Ltd.",Air Transportation,0.86,0.264,N/A
9202.T,ANA HOLDINGS INC.,Air Transportation,0.86,0.369,N/A
9233.T,"Asia Air Survey Co.,Ltd.",Air Transportation,1.0,0.521,N/A
9206.T,Star Flyer Inc.,Air Transportation,1.52,2.018,N/A
92025.T,Series 1 Bond-Type Class Shares of ANA HOLDINGS INC.,Air Transportation,1.56,N/A,N/A
7161.T,"Jimoto Holdings,Inc.",Banks,0.14,N/A,3.33
8416.T,"THE BANK OF KOCHI,LTD.",Banks,0.21,N/A,4.4
8537.T,"THE TAIKO BANK,LTD.",Banks,0.28,N/A,4.47
8383.T,"THE TOTTORI BANK,LTD.",Banks,0.29,N/A,4.34
8542.T,"TOMATO BANK,LTD.",Banks,0.31,N/A,4.1
7150.T,"THE SHIMANE BANK,LTD.",Banks,0.32,N/A,2.62
8364.T,"THE SHIMIZU BANK,LTD.",Banks,0.36,N/A,3.96
8365.T,"The Bank of Toyama,Ltd.",Banks,0.36,N/A,5.19
8349.T,"THE TOHOKU BANK,LTD.",Banks,0.38,N/A,3.5
8563.T,"THE DAITO BANK,LTD.",Banks,0.39,N/A,3.74
8713.T,FIDEA Holdings Co.Ltd.,Banks,0.4,N/A,2.64
8551.T,"The Kita-Nippon Bank,Ltd.",Banks,0.41,N/A,5.66
8558.T,"THE TOWA BANK,LTD.",Banks,0.42,N/A,3.8
8338.T,"Tsukuba Bank,Ltd.",Banks,0.44,N/A,3.17
8541.T,"The Ehime Bank,Ltd.",Banks,0.47,N/A,4.57
8344.T,"The Yamagata Bank,Ltd.",Banks,0.49,N/A,4.29
8562.T,"THE FUKUSHIMA BANK,LTD.",Banks,0.5,N/A,2.97
8343.T,"THE AKITA BANK,LTD.",Banks,0.53,N/A,4.52
8362.T,"The Fukui Bank,Ltd.",Banks,0.54,N/A,3.18
8387.T,"The Shikoku Bank, Ltd.",Banks,0.55,N/A,4.74
4102.T,"Maruo Calcium Co.,Ltd.",Chemicals,0.3,0.543,N/A
4234.T,"Sun A.Kaken Company,Limited",Chemicals,0.33,0.46,N/A
4615.T,"SHINTO PAINT COMPANY,LIMITED",Chemicals,0.33,0.042,N/A
7877.T,"EIDAI KAKO CO.,LTD.",Chemicals,0.33,0.601,N/A
7928.T,"ASAHI KAGAKU KOGYO CO.,LTD.",Chemicals,0.33,0.371,N/A
4120.T,"SUGAI CHEMICAL INDUSTRY CO.,LTD.",Chemicals,0.37,0.364,N/A
4406.T,"New Japan Chemical Co.,Ltd.",Chemicals,0.37,0.478,N/A
4624.T,"Isamu Paint Co.,Ltd.",Chemicals,0.39,0.361,N/A
4625.T,"ATOMIX CO.,LTD.",Chemicals,0.39,0.45,N/A
